"fecha_hecho","cod_depto","departamento","cod_muni","municipio","accion","cantidad"
"2021-01-10T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2023-09-10T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2021-10-21T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2015-05-30T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2024-07-20T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","3"
"2011-08-11T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","ASESINADO","1"
"2016-11-22T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2017-10-22T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2019-10-28T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2024-12-23T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2018-06-07T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2024-05-20T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","2"
"2020-02-19T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2011-05-30T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","2"
"2014-04-07T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2017-10-01T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2024-12-07T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","8"
"2010-11-15T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","ASESINADO","2"
"2017-01-27T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2016-08-29T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2019-02-12T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2012-10-03T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2021-04-29T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2017-10-22T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","ASESINADO","1"
"2010-01-16T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2019-04-05T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2022-08-04T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","2"
"2020-12-11T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","ASESINADO","2"
"2024-06-23T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","3"
"2024-06-19T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2022-04-22T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
